id,season,Venue_Id,date,Match_Type_Id,player_of_match,Team1_Id,Team2_Id,Toss_Winner_Team_Id,toss_decision,Match_Winner_Team_Id,result,result_margin,target_runs,target_overs,super_over,method,Umpire1_Id,Umpire2_Id
335982,2008,4,4/18/2008,5,BB McCullum,12,7,12,field,7,runs,140,223,20,N,NA,9,49
335983,2008,9,4/19/2008,5,MEK Hussey,5,1,1,bat,1,runs,33,241,20,N,NA,38,61
335984,2008,13,4/19/2008,5,MF Maharoof,3,11,11,bat,3,wickets,9,130,20,N,NA,7,21
335985,2008,31,4/20/2008,5,MV Boucher,9,12,9,bat,12,wickets,5,166,20,N,NA,58,20
335986,2008,26,4/20/2008,5,DJ Hussey,7,2,2,bat,7,wickets,5,111,20,N,NA,12,32
335987,2008,21,4/21/2008,5,SR Watson,11,5,5,bat,11,wickets,6,167,20,N,NA,7,48
335988,2008,19,4/22/2008,5,V Sehwag,2,3,2,bat,3,wickets,9,143,20,N,NA,28,8
335989,2008,10,4/23/2008,5,ML Hayden,1,9,9,field,1,runs,6,209,20,N,NA,20,21
335990,2008,19,4/24/2008,5,YK Pathan,2,11,11,field,11,wickets,3,215,20,N,NA,9,38
335991,2008,9,4/25/2008,5,KC Sangakkara,5,9,9,field,5,runs,66,183,20,N,NA,7,8
335992,2008,4,4/26/2008,5,SR Watson,12,11,11,field,11,wickets,7,136,20,N,NA,38,28
335993,2008,10,4/26/2008,5,JDP Oram,1,7,7,bat,1,wickets,9,148,20,N,NA,12,10
335994,2008,30,4/27/2008,5,AC Gilchrist,9,2,2,field,2,wickets,10,155,20,N,NA,9,61
335995,2008,9,4/27/2008,5,SM Katich,5,3,3,bat,5,wickets,4,159,20,N,NA,49,26
335996,2008,4,4/28/2008,5,MS Dhoni,12,1,1,bat,1,runs,13,179,20,N,NA,15,48
335997,2008,26,4/29/2008,5,ST Jayasuriya,7,9,7,bat,9,wickets,7,138,20,N,NA,12,10
335998,2008,13,4/30/2008,5,GD McGrath,3,12,12,field,3,runs,10,192,20,N,NA,7,26
335999,2008,19,5/1/2008,5,SE Marsh,2,5,5,field,5,wickets,7,165,20,N,NA,15,48
336000,2008,21,5/1/2008,5,SA Asnodkar,11,7,11,bat,11,runs,45,197,20,N,NA,49,21
336001,2008,10,5/2/2008,5,V Sehwag,1,3,1,bat,3,wickets,8,170,20,N,NA,12,32
336003,2008,9,5/3/2008,5,IK Pathan,5,7,5,bat,5,runs,9,179,20,N,NA,20,26
336034,2008,4,5/3/2008,5,P Kumar,12,2,2,field,12,runs,3,157,20,N,NA,15,61
336004,2008,30,5/4/2008,5,SM Pollock,9,3,3,field,9,runs,29,163,20,N,NA,28,49
336005,2008,21,5/4/2008,5,Sohail Tanvir,11,1,1,bat,11,wickets,8,110,20,N,NA,9,10
336006,2008,4,5/5/2008,5,S Sreesanth,12,5,5,field,5,wickets,6,127,20,N,NA,58,15
336007,2008,10,5/6/2008,5,AC Gilchrist,1,2,2,field,2,wickets,7,145,20,N,NA,38,48
336008,2008,30,5/7/2008,5,A Nehra,9,11,9,field,9,wickets,7,104,20,N,NA,20,49
336009,2008,13,5/8/2008,5,MS Dhoni,3,1,1,field,1,wickets,4,188,20,N,NA,7,48
336010,2008,26,5/8/2008,5,SC Ganguly,7,12,7,bat,7,runs,5,130,16,N,NA,9,28
336011,2008,21,5/9/2008,5,YK Pathan,11,2,11,field,11,wickets,8,141,20,N,NA,38,8
336013,2008,10,5/10/2008,5,L Balaji,1,5,5,field,1,runs,18,182,20,N,NA,10,13
336014,2008,19,5/11/2008,5,SC Ganguly,2,7,7,bat,7,runs,23,205,20,N,NA,28,8
336015,2008,21,5/11/2008,5,SR Watson,11,3,11,field,11,wickets,3,157,20,N,NA,58,49
336016,2008,9,5/12/2008,5,SE Marsh,5,12,12,bat,5,wickets,9,144,20,N,NA,15,26
336017,2008,26,5/13/2008,5,Shoaib Akhtar,7,3,7,bat,7,runs,23,134,20,N,NA,9,28
336018,2008,31,5/14/2008,5,ST Jayasuriya,9,1,9,field,9,wickets,9,157,20,N,NA,15,8
336020,2008,13,5/15/2008,5,A Mishra,3,2,2,field,3,runs,12,195,20,N,NA,13,21
336021,2008,31,5/16/2008,5,SM Pollock,9,7,9,field,9,wickets,8,68,20,N,NA,15,20
336022,2008,13,5/17/2008,5,DPMD Jayawardene,3,5,3,bat,5,runs,6,89,8,N,D/L,10,49
336023,2008,21,5/17/2008,5,GC Smith,11,12,12,field,11,runs,65,198,20,N,NA,12,61
