Umpire_Id,Umpire_Name
1,A Deshmukh
2,A Nand Kishore
3,A Totre
4,AG Wharf
5,AK Chaudhary
6,AL Hill
7,Aleem Dar
8,AM Saheba
9,Asad Rauf
10,AV Jayaprakash
11,AY Dandekar
12,BF Bowden
13,BG Jerling
14,BNJ Oxenford
15,BR Doctrove
16,C Shamshuddin
17,CB Gaffaney
18,Chirra Ravikanthreddy
19,CK Nandan
20,DJ Harper
21,GA Pratapkumar
22,GAV Baxter
23,GR Sadashiv Iyer
24,HAS Khalid
25,HDPK Dharmasena
26,I Shivram
27,IJ Gould
28,IL Howell
29,J Madanagopal
30,JD Cloete
31,K Bharatan
32,K Hariharan
33,K Srinath
34,K Srinivasan
35,KN Ananthapadmanabhan
36,M Erasmus
37,MA Gough
38,MR Benson
39,MV Saidharshan Kumar
40,N Pandit
41,NA Patwardhan
42,Navdeep Singh
43,Nitin Menon
44,NJ Llong
45,PG Pathak
46,PR Reiffel
47,R Pandit
48,RB Tiffin
49,RE Koertzen
50,RJ Tucker
51,RK Illingworth
52,RM Deshpande
53,S Asnani
54,S Das
55,S Ravi
56,SD Fry
57,SD Ranade
58,SJ Davis
59,SJA Taufel
60,SK Tarapore
61,SL Shastri
62,SS Hazare
63,Subroto Das
64,Tapan Sharma
65,TH Wijewardene
66,UV Gandhe
67,VA Kulkarni
68,Vinod Seshan
69,VK Sharma
70,YC Barde
